broj_karte,putnici,sifra_konkretnog_leta,status,obrisana,datum_prodaje,prodavac,kupac,sediste
2,"[{'ime': 'Viktor', 'prezime': 'Vasic', 'uloga': 'korisnik', 'korisnicko_ime': 'ViktorVasic'}]",9200,realizovana_karta,False,2023-01-28,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'korisnicko_ime': 'viktorv', 'lozinka': 'pass', 'ime': 'Viktor', 'prezime': 'Vasic', 'uloga': 'korisnik', 'pasos': '', 'drzavljanstvo': 'SRB', 'telefon': '123456789', 'email': 'viktor@gmail.com', 'pol': ''}",A3
3,"[{'korisnicko_ime': 'milosm', 'lozinka': 'pass', 'ime': 'milos', 'prezime': 'matic', 'uloga': 'korisnik', 'pasos': '', 'drzavljanstvo': '', 'telefon': '123456789', 'email': 'milos@gmail.com', 'pol': ''}, {'ime': 'Tamara', 'prezime': 'Filipovic', 'korisnicko_ime': 'TamaraFilipovic'}]",9200,nerealizovana_karta,False,2023-01-28,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'korisnicko_ime': 'milosm', 'lozinka': 'pass', 'ime': 'milos', 'prezime': 'matic', 'uloga': 'korisnik', 'pasos': '', 'drzavljanstvo': '', 'telefon': '123456789', 'email': 'milos@gmail.com', 'pol': ''}",
4,"[{'korisnicko_ime': 'milosm', 'lozinka': 'pass', 'ime': 'milos', 'prezime': 'matic', 'uloga': 'korisnik', 'pasos': '', 'drzavljanstvo': '', 'telefon': '123456789', 'email': 'milos@gmail.com', 'pol': ''}]",6152,nerealizovana_karta,False,2023-01-28,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'korisnicko_ime': 'milosm', 'lozinka': 'pass', 'ime': 'milos', 'prezime': 'matic', 'uloga': 'korisnik', 'pasos': '', 'drzavljanstvo': '', 'telefon': '123456789', 'email': 'milos@gmail.com', 'pol': ''}",
5,"[{'ime': 'Andjela', 'prezime': 'Tepavcevic', 'uloga': 'korisnik', 'korisnicko_ime': 'AndjelaTepavcevic'}]",6069,nerealizovana_karta,False,2023-01-28,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'ime': 'Andjela', 'prezime': 'Tepavcevic', 'uloga': 'korisnik', 'korisnicko_ime': 'AndjelaTepavcevic'}",
6,"[{'korisnicko_ime': 'milosm', 'lozinka': 'pass', 'ime': 'milos', 'prezime': 'matic', 'uloga': 'korisnik', 'pasos': '', 'drzavljanstvo': '', 'telefon': '123456789', 'email': 'milos@gmail.com', 'pol': ''}, {'ime': 'Matija', 'prezime': 'Kikic', 'korisnicko_ime': 'MatijaKikic'}]",5742,nerealizovana_karta,False,2023-01-28,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'korisnicko_ime': 'milosm', 'lozinka': 'pass', 'ime': 'milos', 'prezime': 'matic', 'uloga': 'korisnik', 'pasos': '', 'drzavljanstvo': '', 'telefon': '123456789', 'email': 'milos@gmail.com', 'pol': ''}",
7,"[{'ime': 'Marija', 'prezime': 'Parezanin', 'uloga': 'korisnik', 'korisnicko_ime': 'MarijaParezanin'}]",6176,nerealizovana_karta,False,2023-01-29,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'ime': 'Marija', 'prezime': 'Parezanin', 'uloga': 'korisnik', 'korisnicko_ime': 'MarijaParezanin'}",
8,"[{'ime': 'Lana', 'prezime': 'Parezanin', 'uloga': 'korisnik', 'korisnicko_ime': 'LanaParezanin'}]",6176,nerealizovana_karta,False,2023-01-29,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'ime': 'Lana', 'prezime': 'Parezanin', 'uloga': 'korisnik', 'korisnicko_ime': 'LanaParezanin'}",
9,"[{'ime': 'Sasa', 'prezime': 'Parezanin', 'uloga': 'korisnik', 'korisnicko_ime': 'SasaParezanin'}]",6176,nerealizovana_karta,False,2023-01-29,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'ime': 'Sasa', 'prezime': 'Parezanin', 'uloga': 'korisnik', 'korisnicko_ime': 'SasaParezanin'}",
10,"[{'korisnicko_ime': 'milosm', 'lozinka': 'pass', 'ime': 'milos', 'prezime': 'matic', 'uloga': 'korisnik', 'pasos': '', 'drzavljanstvo': '', 'telefon': '123456789', 'email': 'milos@gmail.com', 'pol': ''}]",6176,nerealizovana_karta,False,2023-01-29,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'korisnicko_ime': 'milosm', 'lozinka': 'pass', 'ime': 'milos', 'prezime': 'matic', 'uloga': 'korisnik', 'pasos': '', 'drzavljanstvo': '', 'telefon': '123456789', 'email': 'milos@gmail.com', 'pol': ''}",
11,"[{'ime': 'Dragana', 'prezime': 'Parezanin', 'uloga': 'korisnik', 'korisnicko_ime': 'DraganaParezanin'}]",6176,nerealizovana_karta,False,2023-01-29,"{'kor_ime': 'pavlep', 'uloga': 'prodavac'}","{'ime': 'Dragana', 'prezime': 'Parezanin', 'uloga': 'korisnik', 'korisnicko_ime': 'DraganaParezanin'}",
