korisnicko_ime,lozinka,ime,prezime,uloga,pasos,drzavljanstvo,telefon,email,pol
marijap,pass,marija,pa,korisnik,,,123456789,marija@gmail.com,
monicag,pass,Monica,Geller,prodavac,,,123456789,monica@gmail.com,
milosm,pass,milos,matic,korisnik,111111111,SRB,123456789,milos@gmail.com,m
anaa,pass,ana,andric,admin,,,123456789,ana@gmail.com,
arsen,pass,arsen,akip,admin,,,123456789,arsen@gmail.com,
pavlep,pass,pavle,parezanin,prodavac,,,123456789,pavle@gmail.com,m
kristijank,pass,kristijan,katic,korisnik,,,123456789,kristijan@gmail.com,
petarp,pass,petar,pavlovic,prodavac,123456789,SRB,123456789,petar@gmail.com,
predragp,pass,predrag,pesko,prodavac,,,12345678,predrag@gmail.com,
viktorv,pass,Viktor,Vasic,korisnik,,SRB,123456789,viktor@gmail.com,
nikolinaa,pass,Nikolina,Ateljevic,korisnik,,,123456789,nikolina@gmail.com,z
paulap,pass,Paula,Palic,prodavac,,,123468901,paula@gmail.com,
phoebeb,pass,Phoebe,Buffey,prodavac,,,123456789,phoebe@gmail.com,
rossg,pass,Ross,Geller,korisnik,,,123456789,ross@gmail.com,
joeyt,pass,Joey,Tribiani,korisnik,,,123456789,joey@gmail.com,
chandlerb,pass,Chandler,Bing,korisnik,,,123456789,chandler@gmail.com,m
rachelg,pass,Rachel,Green,korisnik,,USA,123456789,rachel@gmail.com,z
r,p,Phoebe,Buffey,korisnik,,,123456789,fji@nfkjr.com,
milican,pass,Milica,Ninkovic,korisnik,123456789,Srb,123456789,milican@gmail.com,z
andjelat,pass,Andjela,Tepavcevic,korisnik,123456789,SRB,65123123,andjela@gmail.com,z
pantelijap,pass,pantelija,parez,prodavac,,,123456789,pan@gmail.com,m
